Employee_ID,Loan_Volumes,Transaction_Accuracy,Workplan_Completion,Error_Frequencies,Feedback_Text,Target
EMP_0001,112,92.68686483822883,70.1163562343278,2,Struggles with meeting task deadlines and balancing cash reconciliation errors.,1
EMP_0002,102,96.12530416342999,93.7131235305119,2,Consistently meets targets and handles client queries with high integrity.,1
EMP_0003,24,95.48268779741356,75.50548562494126,2,Occasionally overlooks compliance details during high-pressure transaction cycles.,0
EMP_0004,116,91.0382506539547,86.17023828061431,0,Occasionally overlooks compliance details during high-pressure transaction cycles.,1
EMP_0005,81,88.2703466124113,55.20686789601437,2,Struggles with meeting task deadlines and balancing cash reconciliation errors.,0
EMP_0006,30,94.67581251653993,61.27193777318469,2,Occasionally overlooks compliance details during high-pressure transaction cycles.,0
EMP_0007,112,91.32555901829923,85.14717204893384,2,Struggles with meeting task deadlines and balancing cash reconciliation errors.,1
EMP_0008,131,86.98414316687996,52.64019802342641,3,Struggles with meeting task deadlines and balancing cash reconciliation errors.,1
EMP_0009,84,98.50858451854579,74.32988311218766,2,"Excellent collaboration skills, highly compliant with banking regulations.",1
EMP_0010,97,95.36832786414482,79.9684482831467,1,Consistently meets targets and handles client queries with high integrity.,1
EMP_0011,126,95.24775784668222,80.10728220262405,1,Needs supervision on loan processing volumes; frequent documentation delays.,1
EMP_0012,109,97.3387581386751,51.1466405634021,0,Struggles with meeting task deadlines and balancing cash reconciliation errors.,1
EMP_0013,113,92.94492517982621,66.10540021145928,2,Consistently meets targets and handles client queries with high integrity.,1
EMP_0014,140,97.22581642603686,81.8245325524577,0,Occasionally overlooks compliance details during high-pressure transaction cycles.,1
EMP_0015,62,92.47136130266509,57.449986807462174,1,"Exemplary adherence to security protocols, maintains exceptional audit scores.",0
EMP_0016,11,86.00763099873565,84.77078241640265,1,Struggles with meeting task deadlines and balancing cash reconciliation errors.,0
EMP_0017,97,91.07872132041533,87.29626044068372,0,Occasionally overlooks compliance details during high-pressure transaction cycles.,1
EMP_0018,47,92.46197340969836,99.09845952230727,3,Occasionally overlooks compliance details during high-pressure transaction cycles.,0
EMP_0019,139,95.80303872448444,60.49209974282047,2,Occasionally overlooks compliance details during high-pressure transaction cycles.,1
EMP_0020,30,86.59868095193012,91.25653338330577,2,Occasionally overlooks compliance details during high-pressure transaction cycles.,0
EMP_0021,67,87.10027807990673,76.0148288459327,1,Occasionally overlooks compliance details during high-pressure transaction cycles.,0
EMP_0022,31,88.95525703951925,68.67312980720867,3,Struggles with meeting task deadlines and balancing cash reconciliation errors.,0
EMP_0023,98,88.99747590056323,56.1188378662589,3,Needs supervision on loan processing volumes; frequent documentation delays.,0
EMP_0024,58,95.98276867688594,86.77528032437688,2,"Excellent collaboration skills, highly compliant with banking regulations.",0
EMP_0025,68,88.76095990842397,61.792879957184354,1,Occasionally overlooks compliance details during high-pressure transaction cycles.,0
EMP_0026,24,94.49647095036171,68.57110009365229,4,Occasionally overlooks compliance details during high-pressure transaction cycles.,0
EMP_0027,60,92.41410775207407,53.127111344868425,3,"Excellent collaboration skills, highly compliant with banking regulations.",0
EMP_0028,117,93.59941567269101,90.06834579097595,2,Struggles with meeting task deadlines and balancing cash reconciliation errors.,1
EMP_0029,64,97.57160444767443,88.32942619858217,5,Consistently meets targets and handles client queries with high integrity.,0
EMP_0030,73,91.06572252323537,86.68079150211562,1,"Exemplary adherence to security protocols, maintains exceptional audit scores.",0
EMP_0031,140,96.56367065596406,64.97217552459433,0,"Exemplary adherence to security protocols, maintains exceptional audit scores.",1
EMP_0032,60,91.3305408932603,58.674003713297864,1,Consistently meets targets and handles client queries with high integrity.,0
EMP_0033,144,90.30807064841875,81.87766322351149,4,Struggles with meeting task deadlines and balancing cash reconciliation errors.,1
EMP_0034,30,99.3794076596983,74.80831920566098,1,"Exemplary adherence to security protocols, maintains exceptional audit scores.",0
EMP_0035,82,87.76556381018445,58.91262334523208,0,"Excellent collaboration skills, highly compliant with banking regulations.",0
EMP_0036,27,86.35505440866412,84.29556355249318,2,Consistently meets targets and handles client queries with high integrity.,0
EMP_0037,141,96.56478888303218,99.55632159106518,1,Needs supervision on loan processing volumes; frequent documentation delays.,1
EMP_0038,98,86.02374558031137,87.36097938710188,3,Struggles with meeting task deadlines and balancing cash reconciliation errors.,1
EMP_0039,69,97.55618486054544,86.99931933428059,4,Consistently meets targets and handles client queries with high integrity.,0
EMP_0040,23,91.55790094535865,97.51563764652958,2,"Exemplary adherence to security protocols, maintains exceptional audit scores.",0
EMP_0041,18,98.73270515937871,60.14681837874511,2,Struggles with meeting task deadlines and balancing cash reconciliation errors.,0
EMP_0042,99,95.82299291682858,78.27749824607201,3,"Excellent collaboration skills, highly compliant with banking regulations.",1
EMP_0043,62,94.15607000511936,98.98233575169417,1,Struggles with meeting task deadlines and balancing cash reconciliation errors.,0
EMP_0044,139,99.23960195586649,58.26470554850873,1,Struggles with meeting task deadlines and balancing cash reconciliation errors.,1
EMP_0045,93,90.94974059578081,85.01259797222605,4,"Excellent collaboration skills, highly compliant with banking regulations.",1
EMP_0046,101,99.3113040480945,79.2905072985951,1,Occasionally overlooks compliance details during high-pressure transaction cycles.,1
EMP_0047,120,87.0250191613181,79.32395460943535,1,"Excellent collaboration skills, highly compliant with banking regulations.",1
EMP_0048,17,92.2563241289862,84.88353137600376,1,Struggles with meeting task deadlines and balancing cash reconciliation errors.,0
EMP_0049,44,89.04866833588292,96.48084614378422,3,"Excellent collaboration skills, highly compliant with banking regulations.",0
EMP_0050,90,93.0976416836229,89.1290969925669,3,Occasionally overlooks compliance details during high-pressure transaction cycles.,1
EMP_0051,59,87.43020816837377,52.8068051708105,3,Consistently meets targets and handles client queries with high integrity.,0
EMP_0052,113,97.62294490465065,92.63640099378557,1,"Excellent collaboration skills, highly compliant with banking regulations.",1
EMP_0053,141,97.69611773971836,61.27706649628663,0,"Excellent collaboration skills, highly compliant with banking regulations.",1
EMP_0054,11,99.32854469085218,68.8457082368186,1,Struggles with meeting task deadlines and balancing cash reconciliation errors.,0
EMP_0055,143,87.32008211324855,73.08664068061911,2,Consistently meets targets and handles client queries with high integrity.,1
EMP_0056,63,94.34998826357486,74.04530003765348,1,Needs supervision on loan processing volumes; frequent documentation delays.,0
EMP_0057,115,92.11355963050555,71.75901996276784,3,Needs supervision on loan processing volumes; frequent documentation delays.,1
EMP_0058,13,90.1657559806635,96.86766471079322,3,"Exemplary adherence to security protocols, maintains exceptional audit scores.",0
EMP_0059,63,90.27310241701328,85.30095038320124,3,"Excellent collaboration skills, highly compliant with banking regulations.",0
EMP_0060,53,91.19190325910128,81.55853229783531,2,"Excellent collaboration skills, highly compliant with banking regulations.",0
EMP_0061,23,95.5738832453343,52.49210138914708,2,Consistently meets targets and handles client queries with high integrity.,0
EMP_0062,104,93.97429087402232,95.19566651301874,1,Occasionally overlooks compliance details during high-pressure transaction cycles.,1
EMP_0063,57,91.89522269141696,95.46950960041981,4,Needs supervision on loan processing volumes; frequent documentation delays.,0
EMP_0064,24,86.13900115554434,89.01065317150511,2,"Exemplary adherence to security protocols, maintains exceptional audit scores.",0
EMP_0065,49,86.16648016118435,50.35146019068096,2,Consistently meets targets and handles client queries with high integrity.,0
EMP_0066,91,85.03509085938667,52.86401255388117,2,"Excellent collaboration skills, highly compliant with banking regulations.",0
EMP_0067,120,99.51549082310629,61.26118511342449,1,Needs supervision on loan processing volumes; frequent documentation delays.,1
