record_id,employee_id,loan_volumes,transaction_accuracy,workplan_completion,error_frequencies,feedback_text,truthfulness_weight,reliability_target,recorded_at
1,1,100,83.0,85.23,1,Demonstrates exemplary regulatory compliance.,0.91,1,2025-01-01 00:00:00
2,1,84,92.55,78.93,1,Strictly adheres to KYC protocols.,0.85,1,2025-02-01 00:00:00
3,1,76,76.24,89.65,2,Strictly adheres to KYC protocols.,0.95,1,2025-03-01 00:00:00
4,1,90,81.64,93.26,2,Strictly adheres to KYC protocols.,0.89,1,2025-04-01 00:00:00
5,1,82,88.55,79.39,1,Zero compliance audit findings.,0.87,1,2025-05-01 00:00:00
6,1,82,92.26,85.04,1,Demonstrates exemplary regulatory compliance.,0.94,1,2025-06-01 00:00:00
7,1,150,85.6,82.96,3,Strictly adheres to KYC protocols.,0.98,0,2025-07-01 00:00:00
8,1,112,93.37,84.53,1,Demonstrates exemplary regulatory compliance.,0.94,1,2025-08-01 00:00:00
9,1,101,83.46,71.92,2,Zero compliance audit findings.,0.89,1,2025-09-01 00:00:00
10,1,87,80.07,85.27,0,Strictly adheres to KYC protocols.,0.95,1,2025-10-01 00:00:00
11,1,78,90.62,89.21,2,Demonstrates exemplary regulatory compliance.,0.87,1,2025-11-01 00:00:00
12,1,114,86.61,85.32,1,Zero compliance audit findings.,0.85,1,2025-12-01 00:00:00
13,2,114,93.31,76.71,3,Demonstrates exemplary regulatory compliance.,0.96,1,2025-01-01 00:00:00
14,2,101,91.58,93.47,3,Zero compliance audit findings.,0.94,1,2025-02-01 00:00:00
15,2,79,81.62,90.3,3,Strictly adheres to KYC protocols.,0.88,1,2025-03-01 00:00:00
16,2,86,91.35,81.51,3,Demonstrates exemplary regulatory compliance.,0.86,1,2025-04-01 00:00:00
17,2,88,89.16,85.2,3,Demonstrates exemplary regulatory compliance.,0.97,1,2025-05-01 00:00:00
18,2,87,91.03,81.2,3,Demonstrates exemplary regulatory compliance.,0.91,1,2025-06-01 00:00:00
19,2,104,76.05,85.42,1,Zero compliance audit findings.,1.0,1,2025-07-01 00:00:00
20,2,54,87.25,84.5,4,Zero compliance audit findings.,0.9,1,2025-08-01 00:00:00
21,2,96,79.37,82.81,1,Strictly adheres to KYC protocols.,0.96,1,2025-09-01 00:00:00
22,2,101,99.08,81.65,1,Demonstrates exemplary regulatory compliance.,0.96,2,2025-10-01 00:00:00
23,2,123,93.14,88.26,2,Zero compliance audit findings.,0.9,1,2025-11-01 00:00:00
24,2,96,94.27,76.84,2,Zero compliance audit findings.,0.88,1,2025-12-01 00:00:00
25,3,33,87.95,76.74,2,Frequent audit exceptions flagged.,0.95,0,2025-01-01 00:00:00
26,3,85,79.32,58.81,3,Frequent audit exceptions flagged.,0.87,0,2025-02-01 00:00:00
27,3,26,81.69,55.69,4,Frequent audit exceptions flagged.,0.92,0,2025-03-01 00:00:00
28,3,37,84.34,80.99,5,Fails to verify documentation thoroughly.,0.97,0,2025-04-01 00:00:00
29,3,58,77.58,76.47,1,Minor KYC compliance oversight noted.,0.9,0,2025-05-01 00:00:00
30,3,81,67.48,78.49,5,Fails to verify documentation thoroughly.,0.93,0,2025-06-01 00:00:00
31,3,72,78.97,77.41,3,Fails to verify documentation thoroughly.,0.88,2,2025-07-01 00:00:00
32,3,65,74.32,80.09,5,Fails to verify documentation thoroughly.,0.86,0,2025-08-01 00:00:00
33,3,52,76.29,66.63,5,Frequent audit exceptions flagged.,0.87,0,2025-09-01 00:00:00
34,3,70,81.18,63.48,6,Fails to verify documentation thoroughly.,0.91,0,2025-10-01 00:00:00
35,3,73,69.81,69.54,8,Fails to verify documentation thoroughly.,0.91,0,2025-11-01 00:00:00
36,3,60,71.77,71.04,10,Minor KYC compliance oversight noted.,0.92,0,2025-12-01 00:00:00
37,4,77,87.82,79.26,3,Demonstrates exemplary regulatory compliance.,0.86,1,2025-01-01 00:00:00
38,4,97,86.49,93.92,2,Zero compliance audit findings.,1.0,2,2025-02-01 00:00:00
39,4,81,88.21,78.44,5,Strictly adheres to KYC protocols.,0.9,1,2025-03-01 00:00:00
40,4,92,91.84,77.45,0,Strictly adheres to KYC protocols.,0.89,1,2025-04-01 00:00:00
41,4,101,84.53,94.63,1,Zero compliance audit findings.,0.91,1,2025-05-01 00:00:00
42,4,120,80.74,89.62,4,Demonstrates exemplary regulatory compliance.,0.92,1,2025-06-01 00:00:00
43,4,90,81.16,79.61,2,Demonstrates exemplary regulatory compliance.,0.9,1,2025-07-01 00:00:00
44,4,76,96.42,82.86,1,Zero compliance audit findings.,1.0,1,2025-08-01 00:00:00
45,4,123,79.02,73.9,2,Strictly adheres to KYC protocols.,0.91,2,2025-09-01 00:00:00
46,4,95,81.54,91.14,2,Demonstrates exemplary regulatory compliance.,0.95,1,2025-10-01 00:00:00
47,4,137,87.09,83.43,4,Strictly adheres to KYC protocols.,0.94,1,2025-11-01 00:00:00
48,4,106,79.22,81.94,3,Zero compliance audit findings.,0.89,0,2025-12-01 00:00:00
49,5,43,72.59,70.08,2,Frequent audit exceptions flagged.,0.91,0,2025-01-01 00:00:00
50,5,41,81.95,71.57,9,Frequent audit exceptions flagged.,0.95,0,2025-02-01 00:00:00
51,5,81,84.94,62.08,7,Fails to verify documentation thoroughly.,0.96,0,2025-03-01 00:00:00
52,5,48,76.15,74.82,1,Frequent audit exceptions flagged.,0.91,0,2025-04-01 00:00:00
53,5,41,78.27,66.7,8,Fails to verify documentation thoroughly.,0.89,0,2025-05-01 00:00:00
54,5,90,75.94,47.1,3,Minor KYC compliance oversight noted.,0.92,0,2025-06-01 00:00:00
55,5,45,80.3,81.58,2,Fails to verify documentation thoroughly.,0.87,0,2025-07-01 00:00:00
56,5,26,77.62,53.52,8,Fails to verify documentation thoroughly.,0.88,0,2025-08-01 00:00:00
57,5,61,73.88,67.95,2,Frequent audit exceptions flagged.,0.99,0,2025-09-01 00:00:00
58,5,85,70.21,73.19,6,Fails to verify documentation thoroughly.,0.87,0,2025-10-01 00:00:00
59,5,79,76.49,77.84,7,Minor KYC compliance oversight noted.,0.98,0,2025-11-01 00:00:00
60,5,74,88.71,66.89,4,Fails to verify documentation thoroughly.,0.97,0,2025-12-01 00:00:00
61,6,68,79.39,85.54,4,Zero compliance audit findings.,0.96,1,2025-01-01 00:00:00
